ano,mes,indice,variacao_mensal,variacao_trimestral,variacao_semestral,variacao_anual,variacao_doze_meses
2020,8,5357.46,0.24,0.86,0.24,0.7,2.44
2020,9,5391.75,0.64,1.24,0.81,1.34,3.14
2020,10,5438.12,0.86,1.75,1.99,2.22,3.92
2020,11,5486.52,0.89,2.41,3.29,3.13,4.31
2020,12,5560.59,1.35,3.13,4.42,4.52,4.52
2021,1,5574.49,0.25,2.51,4.3,0.25,4.56
2021,2,5622.43,0.86,2.48,4.95,1.11,5.2
2021,3,5674.72,0.93,2.05,5.25,2.05,6.1
2021,4,5692.31,0.31,2.11,4.67,2.37,6.76
2021,5,5739.56,0.83,2.08,4.61,3.22,8.06
2021,6,5769.98,0.53,1.68,3.77,3.77,8.35
2021,7,5825.37,0.96,2.34,4.5,4.76,8.99
2021,8,5876.05,0.87,2.38,4.51,5.67,9.68
2021,9,5944.21,1.16,3.02,4.75,6.9,10.25
2021,10,6018.51,1.25,3.32,5.73,8.24,10.67
2021,11,6075.69,0.95,3.4,5.86,9.26,10.74
2021,12,6120.04,0.73,2.96,6.07,10.06,10.06
